Dlb-Lub-Ful.: [u, R' b' R]
Ufr-Bur-Lub.: [u, F' r F]
Ruf-Lbd-Ful.: [u, F' d F]
Fld-Bur-Lub.: [u, F' r2 F]
Ruf-Brd-Ful.: [u, F' d2 F]
Dbr-Bur-Lub.: [u, F' r' F]
Ruf-Rfd-Ful.: [u, F' d' F]
Ruf-Ubl-Ful.: [u, B' l B]
Rfd-Bur-Lub.: [u, B' d B]
Ruf-Brd-Ful.: [u, B' l2 B]
Fld-Bur-Lub.: [u, B' d2 B]
Ruf-Dfl-Ful.: [u, B' l' B]
Lbd-Bur-Lub.: [u, B' d' B]
Ruf-Fld-Ful.: [u, l' U l]
Dbr-Blu-Lfu.: [u, l' D l]
Ruf-Ufr-Ful.: [u, l' U2 l]
Drf-Blu-Lfu.: [u, l' D2 l]
Ruf-Urb-Ful.: [u, l' U' l]
Bdl-Blu-Lfu.: [u, l' D' l]
Brd-Bur-Lub.: [u, r' U r]
Dfl-Fru-Rbu.: [u, r' D r]
Ubl-Bur-Lub.: [u, r' U2 r]
Dlb-Fru-Rbu.: [u, r' D2 r]
Bur-Lub-Ulf.: [u, r' U' r]
Fdr-Fru-Rbu.: [u, r' D' r]
Rfd-Ruf-Bur.: [u, f' U f]
Fru-Dlb-Lfu.: [u, f' D f]
Urb-Ruf-Bur.: [u, f' U2 f]
Fru-Dbr-Lfu.: [u, f' D2 f]
Ruf-Bur-Ubl.: [u, f' U' f]
Fru-Ldf-Lfu.: [u, f' D' f]
Lbd-Lub-Ful.: [u, b' U b]
Drf-Rbu-Blu.: [u, b' D b]
Ulf-Lub-Ful.: [u, b' U2 b]
Dfl-Rbu-Blu.: [u, b' D2 b]
Ufr-Lub-Ful.: [u, b' U' b]
Rdb-Rbu-Blu.: [u, b' D' b]
Fru-Bdl-Lfu.: [u, L d L']
Dbr-Rbu-Blu.: [u, L b L']
Fru-Rdb-Lfu.: [u, L d2 L']
Ldf-Rbu-Blu.: [u, L b2 L']
Fru-Fdr-Lfu.: [u, L d' L']
Ubl-Rbu-Blu.: [u, L b' L']
Fdr-Rbu-Blu.: [u, R d R']
Fru-Dfl-Lfu.: [u, R f R']
Ldf-Rbu-Blu.: [u, R d2 R']
Fru-Rdb-Lfu.: [u, R f2 R']
Bdl-Rbu-Blu.: [u, R d' R']
Fru-Ufr-Lfu.: [u, R f' R']
Dlb-Blu-Lfu.: [u, F l F']
Ldf-Fru-Rbu.: [u, F d F']
Fdr-Blu-Lfu.: [u, F l2 F']
Bdl-Fru-Rbu.: [u, F d2 F']
Ulf-Blu-Lfu.: [u, F l' F']
Rdb-Fru-Rbu.: [u, F d' F']
Drf-Fru-Rbu.: [u, B r B']
Rdb-Blu-Lfu.: [u, B d B']
Bdl-Fru-Rbu.: [u, B r2 B']
Fdr-Blu-Lfu.: [u, B d2 B']
Urb-Fru-Rbu.: [u, B r' B']
Ldf-Blu-Lfu.: [u, B d' B']
