BRu-LBu-FLu-DRb-RUb.: [u, B U' D B']
LFd-LBu-FLu-RFu-BUl.: [u, L2 B L2 B']
RFu-BRu-LBu-FRd-DBl.: [u, R2 B R2 B']
BRu-LBu-FLu-DFr-LUf.: [u, B U D2 B']
BRu-LBu-FLu-DFr-FUr.: [u, B U2 D2 B']
BRu-LBu-FLu-DFr-RUb.: [u, B U' D2 B']
BRu-LBu-FLu-DLf-LUf.: [u, B U D' B']
BRu-LBu-FLu-DLf-FUr.: [u, B U2 D' B']
BRu-LBu-FLu-DLf-RUb.: [u, B U' D' B']
DFr-RFu-BLd-UBr-FUr.: [r, U' L R U]
DFr-RFu-DLf-UBr-FUr.: [r, U' L2 R U]
DFr-RFu-FLu-UBr-FUr.: [r, U' L' R U]
DFr-RDf-BLd-UBr-FUr.: [r, U' L R2 U]
DFr-RDf-DLf-UBr-FUr.: [r, U' L2 R2 U]
DFr-RDf-FLu-UBr-FUr.: [r, U' L' R2 U]
DFr-BDr-ULb-FDl-FUr.: [r, F2 U' F2 U]
DBl-RUb-BDr-UBr-FUr.: [r, B2 U' B2 U]
DFr-RBd-BLd-UBr-FUr.: [r, U' L R' U]
DFr-RBd-DLf-UBr-FUr.: [r, U' L2 R' U]
DFr-RBd-FLu-UBr-FUr.: [r, U' L' R' U]
RBd-FLu-DFr-BDr-UBr.: [r, D' L R D]
DFr-BDr-UBr-RBd-ULb.: [r, D' L2 R D]
RBd-BLd-DFr-BDr-UBr.: [r, D' L' R D]
FLu-DFr-BDr-UBr-RUb.: [r, D' L R2 D]
DFr-BDr-UBr-RUb-ULb.: [r, D' L2 R2 D]
BLd-DFr-BDr-UBr-RUb.: [r, D' L' R2 D]
RDf-FUr-DFr-BDr-UFl.: [r, F2 D' F2 D]
DLf-BUl-BDr-UBr-FUr.: [r, B2 D' B2 D]
RFu-FLu-DFr-BDr-UBr.: [r, D' L R' D]
DFr-BDr-UBr-RFu-ULb.: [r, D' L2 R' D]
RFu-BLd-DFr-BDr-UBr.: [r, D' L' R' D]
DFr-BDr-RDf-ULb-FUr.: [r, F' L R F]
DFr-BDr-RDf-BLd-FUr.: [r, F' L2 R F]
DFr-BDr-RDf-DLf-FUr.: [r, F' L' R F]
DFr-BUl-RFu-UBr-FUr.: [r, U2 F' U2 F]
DFr-BDr-RBd-ULb-FUr.: [r, F' L R2 F]
DFr-BDr-RBd-BLd-FUr.: [r, F' L2 R2 F]
DFr-BDr-RBd-DLf-FUr.: [r, F' L' R2 F]
FLu-DBl-DFr-BDr-UBr.: [r, D2 F' D2 F]
DFr-BDr-RUb-ULb-FUr.: [r, F' L R' F]
DFr-BDr-RUb-BLd-FUr.: [r, F' L2 R' F]
DFr-BDr-RUb-DLf-FUr.: [r, F' L' R' F]
RUb-DLf-BDr-UBr-FUr.: [r, B' L R B]
RUb-FLu-BDr-UBr-FUr.: [r, B' L2 R B]
RUb-ULb-BDr-UBr-FUr.: [r, B' L' R B]
UBr-FUr-DFr-BLd-UFl.: [r, U2 B' U2 B]
RFu-DLf-BDr-UBr-FUr.: [r, B' L R2 B]
RFu-FLu-BDr-UBr-FUr.: [r, B' L2 R2 B]
RFu-ULb-BDr-UBr-FUr.: [r, B' L' R2 B]
FDl-RBd-DFr-BDr-UBr.: [r, D2 B' D2 B]
RDf-DLf-BDr-UBr-FUr.: [r, B' L R' B]
RDf-FLu-BDr-UBr-FUr.: [r, B' L2 R' B]
RDf-ULb-BDr-UBr-FUr.: [r, B' L' R' B]
UBr-FUr-DFr-FRd-UFl.: [r, F' U2 F U2]
DFr-BUl-LBu-UBr-FUr.: [r, B' U2 B U2]
UBr-FUr-DFr-FLu-UFl.: [r, F U2 F' U2]
DFr-BUl-RBd-UBr-FUr.: [r, B U2 B' U2]
FDl-LFd-DFr-BDr-UBr.: [r, F' D2 F D2]
BRu-DBl-DFr-BDr-UBr.: [r, B' D2 B D2]
FDl-RFu-DFr-BDr-UBr.: [r, F D2 F' D2]
BLd-DBl-DFr-BDr-UBr.: [r, B D2 B' D2]
LUf-FUr-DFr-BDr-UFl.: [r, U' F2 U F2]
DFr-BDr-DRb-FDl-FUr.: [r, D' F2 D F2]
RUb-FUr-DFr-BDr-UFl.: [r, U F2 U' F2]
DFr-BDr-DLf-FDl-FUr.: [r, D F2 D' F2]
URf-BUl-BDr-UBr-FUr.: [r, U' B2 U B2]
DBl-LDb-BDr-UBr-FUr.: [r, D' B2 D B2]
ULb-BUl-BDr-UBr-FUr.: [r, U B2 U' B2]
DBl-RDf-BDr-UBr-FUr.: [r, D B2 D' B2]
DFr-LBu-FRd-UBr-FUr.: [r, U L R U']
DFr-LDb-FRd-UBr-FUr.: [r, U L2 R U']
DFr-LFd-FRd-UBr-FUr.: [r, U L' R U']
DFr-LBu-DRb-UBr-FUr.: [r, U L R2 U']
DFr-LDb-DRb-UBr-FUr.: [r, U L2 R2 U']
DFr-LFd-DRb-UBr-FUr.: [r, U L' R2 U']
DFr-BDr-URf-FDl-FUr.: [r, F2 U F2 U']
DBl-LUf-BDr-UBr-FUr.: [r, B2 U B2 U']
DFr-LBu-BRu-UBr-FUr.: [r, U L R' U']
DFr-LDb-BRu-UBr-FUr.: [r, U L2 R' U']
DFr-LFd-BRu-UBr-FUr.: [r, U L' R' U']
