LBu-FLu-RDf-DLf-LUf.: [L, D' U l D U']
LBu-FLu-RDf-DLf-LUf.: [L, U D' l D U']
LDb-LFd-BLd-RUb-ULb.: [L, D' U r D U']
LDb-LFd-BLd-RUb-ULb.: [L, U D' r D U']
DLf-FLu-LBu-URf-LUf.: [L, D' U l' D U']
DLf-FLu-LBu-URf-LUf.: [L, U D' l' D U']
BLd-LFd-DRb-LDb-ULb.: [L, D' U r' D U']
BLd-LFd-DRb-LDb-ULb.: [L, U D' r' D U']
LUf-LBu-BLd-DBl-ULb.: [L, U' l2 U2 l U']
BLd-LFd-BUl-LDb-ULb.: [L, b2 U b2 r U']
LUf-LBu-BLd-RUb-ULb.: [L, U' l U2 l2 U']
BLd-LBu-URf-LUf-ULb.: [L, U' r' U2 r2 U']
BLd-FLu-UBr-DLf-ULb.: [L, U2 f2 U' f2 U']
LBu-FLu-UBr-DLf-LUf.: [L, f2 U l' f2 U']
BLd-LFd-BUl-LDb-ULb.: [L, b2 U r b2 U']
LBu-LFd-BUl-LDb-LUf.: [L, U2 b2 U' b2 U']
LBu-FRd-DBl-LFd-LUf.: [L, U F l2 F' U']
BLd-RFu-BDr-FLu-ULb.: [L, U F r2 F' U']
LBu-FLu-UBr-DLf-LUf.: [L, f2 U f2 l' U']
BLd-LBu-BDr-LUf-ULb.: [L, U' r2 U2 r' U']
LDb-LFd-BLd-RUb-ULb.: [L, U' D l U D']
LDb-LFd-BLd-RUb-ULb.: [L, D U' l U D']
LBu-FLu-RDf-DLf-LUf.: [L, U' D r U D']
LBu-FLu-RDf-DLf-LUf.: [L, D U' r U D']
BLd-LFd-DRb-LDb-ULb.: [L, U' D l' U D']
BLd-LFd-DRb-LDb-ULb.: [L, D U' l' U D']
DLf-FLu-LBu-URf-LUf.: [L, U' D r' U D']
DLf-FLu-LBu-URf-LUf.: [L, D U' r' U D']
DLf-LDb-LFd-FLu-UFl.: [L, D' l2 D2 l D']
DLf-FLu-LBu-FDl-LUf.: [L, f2 D f2 r D']
LDb-LFd-FLu-RDf-DLf.: [L, D' l D2 l2 D']
FLu-LFd-DRb-LDb-DLf.: [L, D' r' D2 r2 D']
DLf-FLu-LBu-FDl-LUf.: [L, f2 D r f2 D']
LDb-LFd-LBu-FDl-LUf.: [L, D2 f2 D' f2 D']
DLf-FLu-BLd-DFr-ULb.: [L, D2 b2 D' b2 D']
LDb-LFd-BLd-DFr-ULb.: [L, b2 D l' b2 D']
LBu-LDb-LFd-BRu-UFl.: [L, D B l2 B' D']
BLd-DLf-FLu-RBd-FUr.: [L, D B r2 B' D']
LDb-LFd-BLd-DFr-ULb.: [L, b2 D b2 l' D']
