DF-LB-RB-LF-RF.*: [E2, F' R2 F']
DB-RF-LF-RB-LB.*: [E2, F' D2 F']
UL-LF-RF-LB-RB.*: [E2, F' U' F']
DR-RF-LF-RB-LB.*: [E2, F' D' F']
UL-RB-LB-RF-LF.*: [E2, B' U B']
DR-LB-RB-LF-RF.*: [E2, B' D B']
DB-RF-LF-RB-LB.*: [E2, B' L2 B']
UF-RB-LB-RF-LF.*: [E2, B' U2 B']
UB-LF-RF-LB-RB.*: [E2, B' R2 B']
DF-LB-RB-LF-RF.*: [E2, B' D2 B']
UR-RB-LB-RF-LF.*: [E2, B' U' B']
DL-LB-RB-LF-RF.*: [E2, B' D' B']
UL-DR-UR-FD-DL.*: [S2, L F L]
UL-DL-UR-DR-BU.*: [S2, L B L]
UL-BL-DR-UR-DL.*: [S2, L U2 L]
UL-DL-FL-UR-DR.*: [S2, L D2 L]
UL-DR-UR-FR-DL.*: [S2, L F2 L]
UL-DL-UR-DR-BR.*: [S2, L B2 L]
UF-LD-LU-RD-RU.*: [S2, L F' L]
UL-DL-UR-DR-BD.*: [S2, L B' L]
UL-UR-DL-DR-LF.*: [S2, U F U]
UL-DR-DL-RB-UR.*: [S2, U B U]
UF-DR-DL-UR-UL.*: [S2, U L2 U]
UL-UR-UB-DL-DR.*: [S2, U R2 U]
UL-UR-DL-DR-DF.*: [S2, U F2 U]
UL-DR-DL-DB-UR.*: [S2, U B2 U]
UL-UR-DL-DR-RF.*: [S2, U F' U]
UL-DR-DL-LB-UR.*: [S2, U B' U]
UF-RU-RD-LU-LD.*: [S2, R F R]
UL-BD-DR-UR-DL.*: [S2, R B R]
UL-DR-UR-FR-DL.*: [S2, R U2 R]
UL-DL-UR-DR-BR.*: [S2, R D2 R]
UL-DL-FL-UR-DR.*: [S2, R F2 R]
UL-BL-DR-UR-DL.*: [S2, R B2 R]
UL-DL-FD-UR-DR.*: [S2, R F' R]
UL-BU-DR-UR-DL.*: [S2, R B' R]
UL-RF-DR-DL-UR.*: [S2, D F D]
UL-UR-LB-DL-DR.*: [S2, D B D]
UL-DR-DL-DB-UR.*: [S2, D L2 D]
UL-UR-DL-DR-DF.*: [S2, D R2 D]
UF-DR-DL-UR-UL.*: [S2, D F2 D]
UL-UR-UB-DL-DR.*: [S2, D B2 D]
UL-LF-DR-DL-UR.*: [S2, D F' D]
UL-UR-RB-DL-DR.*: [S2, D B' D]
UL-DL-UR-DR-FD.*: [S2, L' F L']
UL-DR-UR-BU-DL.*: [S2, L' B L']
UL-FL-DR-UR-DL.*: [S2, L' U2 L']
UL-DL-BL-UR-DR.*: [S2, L' D2 L']
UL-DL-UR-DR-FR.*: [S2, L' F2 L']
UL-DR-UR-BR-DL.*: [S2, L' B2 L']
UF-LU-LD-RU-RD.*: [S2, L' F' L']
UL-DR-UR-BD-DL.*: [S2, L' B' L']
UL-DR-DL-LF-UR.*: [S2, U' F U']
UL-UR-DL-DR-RB.*: [S2, U' B U']
UL-UB-DR-DL-UR.*: [S2, U' L2 U']
UF-DL-DR-UL-UR.*: [S2, U' R2 U']
UL-DR-DL-DF-UR.*: [S2, U' F2 U']
UL-UR-DL-DR-DB.*: [S2, U' B2 U']
UL-DR-DL-RF-UR.*: [S2, U' F' U']
UL-UR-DL-DR-LB.*: [S2, U' B' U']
UF-RD-RU-LD-LU.*: [S2, R' F R']
UL-DL-BD-UR-DR.*: [S2, R' B R']
UL-DR-UR-BR-DL.*: [S2, R' U2 R']
UL-DL-UR-DR-FR.*: [S2, R' D2 R']
UL-FL-DR-UR-DL.*: [S2, R' F2 R']
UL-DL-BL-UR-DR.*: [S2, R' B2 R']
UL-FD-DR-UR-DL.*: [S2, R' F' R']
UL-DL-BU-UR-DR.*: [S2, R' B' R']
UL-UR-RF-DL-DR.*: [S2, D' F D']
UL-LB-DR-DL-UR.*: [S2, D' B D']
UL-DR-DL-DF-UR.*: [S2, D' L2 D']
UL-UR-DL-DR-DB.*: [S2, D' R2 D']
UF-DL-DR-UL-UR.*: [S2, D' F2 D']
UL-UB-DR-DL-UR.*: [S2, D' B2 D']
UL-UR-LF-DL-DR.*: [S2, D' F' D']
UL-RB-DR-DL-UR.*: [S2, D' B' D']
UL-FR-BL-FL-DL.*: [L', E' L2 E]
UL-FL-BL-UR-DL.*: [L', S' L2 S]
