Rfd-Ruf-Ufr-Urb-Ubl.: [U, r u' d r']
Ufr-Urb-Ubl-Fld-Lub.: [U, r u d2 r']
Ufr-Urb-Ubl-Fld-Ful.: [U, r u2 d2 r']
Fld-Ruf-Ufr-Urb-Ubl.: [U, r u' d2 r']
Ufr-Urb-Dfl-Brd-Ulf.: [U, f2 r f2 r']
Bur-Dlb-Urb-Ubl-Ulf.: [U, b2 r b2 r']
Ufr-Urb-Ubl-Lbd-Lub.: [U, r u d' r']
Ufr-Urb-Ubl-Lbd-Ful.: [U, r u2 d' r']
Lbd-Ruf-Ufr-Urb-Ubl.: [U, r u' d' r']
Ufr-Urb-Fld-Bur-Ulf.: [U, f u d f']
Ufr-Urb-Fld-Lub-Ulf.: [U, f u2 d f']
Ulf-Ufr-Urb-Fld-Ful.: [U, f u' d f']
Ufr-Dlb-Rfd-Ubl-Ulf.: [U, l2 f l2 f']
Ruf-Dbr-Ufr-Urb-Ubl.: [U, r2 f r2 f']
Ufr-Urb-Lbd-Bur-Ulf.: [U, f u d2 f']
Ufr-Urb-Lbd-Lub-Ulf.: [U, f u2 d2 f']
Ulf-Ufr-Urb-Lbd-Ful.: [U, f u' d2 f']
Ufr-Urb-Brd-Bur-Ulf.: [U, f u d' f']
Ufr-Urb-Brd-Lub-Ulf.: [U, f u2 d' f']
Ulf-Ufr-Urb-Brd-Ful.: [U, f u' d' f']
Urb-Ubl-Ulf-Brd-Ful.: [U, b u d b']
Brd-Ruf-Urb-Ubl-Ulf.: [U, b u2 d b']
Brd-Bur-Urb-Ubl-Ulf.: [U, b u' d b']
Ufr-Lub-Dfl-Ubl-Ulf.: [U, l2 b l2 b']
Drf-Lbd-Ufr-Urb-Ubl.: [U, r2 b r2 b']
Urb-Ubl-Ulf-Rfd-Ful.: [U, b u d2 b']
Rfd-Ruf-Urb-Ubl-Ulf.: [U, b u2 d2 b']
Rfd-Bur-Urb-Ubl-Ulf.: [U, b u' d2 b']
Urb-Ubl-Ulf-Fld-Ful.: [U, b u d' b']
Fld-Ruf-Urb-Ubl-Ulf.: [U, b u2 d' b']
Fld-Bur-Urb-Ubl-Ulf.: [U, b u' d' b']
Ruf-Rfd-Ufr-Dlb-Rbu.: [R, u' l r u]
Ruf-Rfd-Ufr-Fld-Rbu.: [R, u' l2 r u]
Rbu-Ruf-Rfd-Ufr-Ulf.: [R, u' l' r u]
Ruf-Rfd-Fdr-Dlb-Rbu.: [R, u' l r2 u]
Ruf-Rfd-Fdr-Fld-Rbu.: [R, u' l2 r2 u]
Rbu-Ruf-Rfd-Fdr-Ulf.: [R, u' l' r2 u]
Ldf-Ruf-Rfd-Rdb-Blu.: [R, f2 u' f2 u]
Rdb-Rbu-Ruf-Lbd-Bur.: [R, b2 u' b2 u]
Ruf-Rfd-Dbr-Dlb-Rbu.: [R, u' l r' u]
Ruf-Rfd-Dbr-Fld-Rbu.: [R, u' l2 r' u]
Rbu-Ruf-Rfd-Dbr-Ulf.: [R, u' l' r' u]
Rfd-Rdb-Rbu-Dbr-Ulf.: [R, d' l r d]
Rfd-Rdb-Rbu-Dbr-Blu.: [R, d' l2 r d]
Dbr-Dlb-Rfd-Rdb-Rbu.: [R, d' l' r d]
Rfd-Rdb-Rbu-Bur-Ulf.: [R, d' l r2 d]
Rfd-Rdb-Rbu-Bur-Blu.: [R, d' l2 r2 d]
Dlb-Rfd-Rdb-Rbu-Bur.: [R, d' l' r2 d]
Fdr-Ruf-Rfd-Rdb-Lfu.: [R, f2 d' f2 d]
Rdb-Rbu-Ruf-Fld-Lub.: [R, b2 d' b2 d]
Rfd-Rdb-Rbu-Ufr-Ulf.: [R, d' l r' d]
Rfd-Rdb-Rbu-Ufr-Blu.: [R, d' l2 r' d]
Ufr-Dlb-Rfd-Rdb-Rbu.: [R, d' l' r' d]
